timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.083,5.202,-0.077,30.688,30.769,27.066,14.44,-2.38,22081.0,204.0,204.0,204.0,0.0,26.995,14.402,2.626
0.083,5.202,-0.071,30.509,30.63,26.956,14.381,-2.177,22081.0,204.0,204.0,204.0,0.0,26.85,14.325,2.832
0.083,5.205,-0.077,30.687,30.786,27.037,14.529,-2.382,22081.0,204.0,204.0,204.0,0.0,26.95,14.483,2.626
0.083,5.205,-0.071,30.508,30.545,26.838,14.423,-2.171,22081.0,204.0,204.0,204.0,0.0,26.805,14.405,2.832
0.083,5.205,-0.066,30.095,30.099,26.455,14.217,-1.987,22081.0,204.0,204.0,204.0,0.0,26.452,14.215,3.0140000000000002
0.083,5.209,-0.124,20.088,20.106,17.546,9.497,-2.49,22081.0,204.0,204.0,204.0,0.0,17.53,9.489,2.512
0.083,5.209,-0.119,20.079,20.042,17.501,9.473,-2.382,22081.0,204.0,204.0,204.0,0.0,17.533,9.49,2.614
0.083,5.209,-0.113,20.073,20.032,17.504,9.475,-2.265,22081.0,204.0,204.0,204.0,0.0,17.54,9.494,2.731
0.083,5.209,-0.106,20.077,20.168,17.636,9.546,-2.142,22081.0,204.0,204.0,204.0,0.0,17.556,9.503,2.867
0.083,5.209,-0.149,20.168,20.206,17.574,9.512,-2.997,22081.0,72.0,204.0,204.0,0.0,17.54,9.494,2.009
0.083,5.209,-0.142,20.136,20.149,17.541,9.494,-2.86,22081.0,72.0,204.0,204.0,0.0,17.529,9.488,2.141
0.083,5.209,-0.102,20.086,20.109,17.593,9.522,-2.047,22081.0,204.0,204.0,204.0,0.0,17.573,9.512,2.955
0.083,5.209,-0.095,20.131,20.118,17.612,9.533,-1.918,22081.0,204.0,204.0,204.0,0.0,17.623,9.539,3.081
0.083,5.209,-0.137,20.126,20.136,17.542,9.495,-2.751,22081.0,204.0,204.0,204.0,0.0,17.534,9.491,2.251
0.083,5.209,-0.131,20.107,20.085,17.511,9.478,-2.632,22081.0,204.0,204.0,204.0,0.0,17.531,9.489,2.365
0.083,5.209,-0.088,23.315,23.256,20.373,11.027,-2.048,22081.0,22.0,47.0,204.0,0.0,20.424,11.055,2.946
0.083,5.209,-0.066,29.589,29.61,25.983,14.064,-1.954,22081.0,204.0,204.0,204.0,0.0,25.965,14.054,3.0469999999999997
0.083,5.209,-0.18,22.216,22.207,19.213,10.399,-3.984,22081.0,204.0,204.0,204.0,0.0,19.221,10.404,1.0139999999999998
0.083,5.209,-0.172,20.351,20.301,17.591,9.522,-3.468,22081.0,204.0,204.0,204.0,0.0,17.634,9.545,1.524
0.083,5.209,-0.164,20.27,20.161,17.493,9.468,-3.286,22081.0,72.0,204.0,204.0,0.0,17.588,9.52,1.6960000000000002
0.083,5.209,-0.155,20.207,20.155,17.512,9.479,-3.114,22081.0,72.0,204.0,204.0,0.0,17.558,9.504,1.8780000000000001
0.083,5.212,-0.124,20.039,20.08,17.494,9.537,-2.487,22081.0,204.0,204.0,204.0,0.0,17.459,9.518,2.518
0.083,5.212,-0.119,20.027,20.01,17.444,9.51,-2.378,22081.0,204.0,204.0,204.0,0.0,17.459,9.518,2.62
0.083,5.212,-0.113,20.015,19.891,17.352,9.46,-2.249,22081.0,204.0,204.0,204.0,0.0,17.461,9.519,2.737
0.083,5.212,-0.106,20.007,20.026,17.484,9.532,-2.127,22081.0,204.0,204.0,204.0,0.0,17.467,9.523,2.875
0.083,5.212,-0.149,20.113,20.107,17.459,9.518,-2.982,22081.0,72.0,204.0,204.0,0.0,17.464,9.521,2.017
0.083,5.212,-0.142,20.089,20.217,17.571,9.579,-2.87,22081.0,72.0,204.0,204.0,0.0,17.46,9.519,2.148
0.083,5.212,-0.102,20.006,20.061,17.522,9.553,-2.042,22081.0,204.0,204.0,204.0,0.0,17.474,9.526,2.964
0.083,5.212,-0.095,20.008,19.989,17.47,9.525,-1.906,22081.0,204.0,204.0,204.0,0.0,17.487,9.534,3.092
0.083,5.212,-0.137,20.076,20.057,17.445,9.51,-2.74,22081.0,204.0,204.0,204.0,0.0,17.461,9.52,2.258
0.083,5.212,-0.131,20.059,20.027,17.432,9.504,-2.624,22081.0,204.0,204.0,204.0,0.0,17.46,9.519,2.372
