timestamp,yaw,pitch,distance,distance_noise,x,y,z,x_noise,y_noise,z_noise,object_id,color,color,color,id
0.03,1.882,-0.434,5.078,5.001,-4.385,-1.41,-2.138,-4.319,-1.389,-2.105,22081.0,204.0,204.0,204.0,0.0
0.03,1.885,-0.434,5.028,4.962,-4.338,-1.409,-2.116,-4.281,-1.391,-2.089,22081.0,204.0,204.0,204.0,0.0
0.03,1.888,-0.434,5.002,4.879,-4.311,-1.415,-2.105,-4.205,-1.38,-2.054,22081.0,204.0,204.0,204.0,0.0
0.03,1.888,-0.423,5.18,5.273,-4.487,-1.473,-2.129,-4.568,-1.499,-2.167,22081.0,204.0,204.0,204.0,0.0
0.03,1.891,-0.434,4.975,4.88,-4.284,-1.421,-2.094,-4.201,-1.393,-2.054,22081.0,204.0,204.0,204.0,0.0
0.03,1.891,-0.423,5.146,5.209,-4.453,-1.477,-2.115,-4.508,-1.495,-2.141,22081.0,204.0,204.0,204.0,0.0
0.03,1.891,-0.414,5.364,5.43,-4.661,-1.545,-2.16,-4.718,-1.564,-2.187,22081.0,204.0,204.0,204.0,0.0
0.03,1.894,-0.434,4.957,4.875,-4.264,-1.428,-2.087,-4.193,-1.404,-2.052,22081.0,204.0,204.0,204.0,0.0
0.03,1.894,-0.423,5.118,5.265,-4.425,-1.482,-2.103,-4.552,-1.525,-2.164,22081.0,204.0,204.0,204.0,0.0
0.03,1.894,-0.414,5.266,5.288,-4.571,-1.531,-2.121,-4.59,-1.537,-2.129,22081.0,204.0,204.0,204.0,0.0
0.03,1.897,-0.434,4.949,4.878,-4.253,-1.439,-2.083,-4.191,-1.418,-2.053,22081.0,204.0,204.0,204.0,0.0
0.03,1.897,-0.423,5.091,5.196,-4.396,-1.487,-2.092,-4.487,-1.518,-2.135,22081.0,204.0,204.0,204.0,0.0
0.03,1.897,-0.414,5.237,5.334,-4.541,-1.536,-2.109,-4.625,-1.565,-2.148,22081.0,204.0,204.0,204.0,0.0
0.03,1.897,-0.403,5.509,5.542,-4.802,-1.624,-2.158,-4.83,-1.634,-2.171,22081.0,204.0,204.0,204.0,0.0
0.03,1.9,-0.434,4.942,4.878,-4.242,-1.449,-2.08,-4.187,-1.431,-2.053,22081.0,204.0,204.0,204.0,0.0
0.03,1.9,-0.423,5.077,5.103,-4.38,-1.496,-2.086,-4.402,-1.504,-2.097,22081.0,204.0,204.0,204.0,0.0
0.03,1.9,-0.414,5.208,5.266,-4.511,-1.541,-2.097,-4.561,-1.558,-2.12,22081.0,204.0,204.0,204.0,0.0
0.03,1.9,-0.403,5.412,5.465,-4.712,-1.61,-2.12,-4.758,-1.626,-2.141,22081.0,204.0,204.0,204.0,0.0
0.03,1.903,-0.395,5.522,5.524,-4.819,-1.663,-2.124,-4.82,-1.663,-2.124,22081.0,204.0,204.0,204.0,0.0
0.03,1.903,-0.434,4.934,4.876,-4.231,-1.46,-2.077,-4.181,-1.443,-2.052,22081.0,204.0,204.0,204.0,0.0
0.03,1.903,-0.423,5.069,5.116,-4.368,-1.507,-2.083,-4.409,-1.521,-2.103,22081.0,204.0,204.0,204.0,0.0
0.03,1.903,-0.414,5.185,5.261,-4.487,-1.548,-2.088,-4.552,-1.571,-2.119,22081.0,204.0,204.0,204.0,0.0
0.03,1.903,-0.403,5.381,5.383,-4.68,-1.615,-2.108,-4.682,-1.615,-2.109,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.395,5.49,5.448,-4.786,-1.668,-2.112,-4.749,-1.655,-2.095,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.388,5.621,5.589,-4.914,-1.712,-2.125,-4.886,-1.702,-2.113,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.434,4.926,4.851,-4.219,-1.47,-2.073,-4.155,-1.448,-2.042,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.423,5.06,5.129,-4.356,-1.518,-2.079,-4.415,-1.538,-2.108,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.414,5.177,5.233,-4.475,-1.559,-2.085,-4.523,-1.576,-2.107,22081.0,204.0,204.0,204.0,0.0
0.03,1.906,-0.403,5.351,5.423,-4.649,-1.62,-2.096,-4.712,-1.642,-2.125,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.395,5.458,5.395,-4.753,-1.672,-2.099,-4.698,-1.653,-2.075,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.388,5.588,5.577,-4.88,-1.717,-2.113,-4.871,-1.714,-2.109,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.38,5.785,5.809,-5.069,-1.783,-2.143,-5.09,-1.791,-2.152,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.434,4.918,4.873,-4.208,-1.481,-2.07,-4.17,-1.467,-2.051,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.423,5.052,5.148,-4.345,-1.529,-2.076,-4.427,-1.558,-2.115,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.414,5.168,5.191,-4.462,-1.57,-2.081,-4.482,-1.577,-2.09,22081.0,204.0,204.0,204.0,0.0
0.03,1.909,-0.403,5.329,5.407,-4.625,-1.627,-2.088,-4.693,-1.651,-2.118,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.395,5.432,5.425,-4.725,-1.678,-2.089,-4.719,-1.676,-2.086,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.388,5.555,5.584,-4.846,-1.721,-2.101,-4.872,-1.73,-2.112,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.38,5.715,5.72,-5.002,-1.777,-2.117,-5.006,-1.778,-2.119,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.434,4.91,4.814,-4.197,-1.491,-2.067,-4.115,-1.462,-2.026,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.423,5.044,5.129,-4.333,-1.539,-2.073,-4.406,-1.565,-2.108,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.414,5.159,5.209,-4.45,-1.581,-2.078,-4.493,-1.596,-2.098,22081.0,204.0,204.0,204.0,0.0
0.03,1.912,-0.403,5.32,5.39,-4.612,-1.638,-2.084,-4.673,-1.66,-2.112,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.395,5.422,5.373,-4.711,-1.69,-2.085,-4.669,-1.674,-2.066,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.388,5.526,5.449,-4.815,-1.727,-2.089,-4.749,-1.703,-2.06,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.38,5.681,5.665,-4.967,-1.781,-2.104,-4.953,-1.776,-2.099,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.37,5.875,6.081,-5.156,-1.849,-2.124,-5.337,-1.914,-2.199,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.434,4.906,4.838,-4.189,-1.502,-2.065,-4.131,-1.481,-2.037,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.423,5.036,5.133,-4.321,-1.55,-2.069,-4.405,-1.58,-2.109,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.414,5.151,5.143,-4.438,-1.591,-2.074,-4.431,-1.589,-2.071,22081.0,204.0,204.0,204.0,0.0
0.03,1.915,-0.403,5.311,5.366,-4.6,-1.649,-2.081,-4.647,-1.666,-2.102,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.395,5.413,5.391,-4.698,-1.701,-2.082,-4.679,-1.694,-2.073,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.388,5.516,5.502,-4.801,-1.738,-2.086,-4.789,-1.734,-2.08,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.38,5.646,5.653,-4.931,-1.785,-2.092,-4.938,-1.787,-2.094,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.37,5.839,6.029,-5.118,-1.853,-2.111,-5.286,-1.913,-2.18,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.434,4.903,4.872,-4.182,-1.514,-2.064,-4.156,-1.504,-2.051,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.423,5.028,5.108,-4.31,-1.56,-2.066,-4.379,-1.585,-2.099,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.361,6.074,6.067,-5.344,-1.935,-2.144,-5.338,-1.932,-2.141,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.414,5.142,5.22,-4.426,-1.602,-2.071,-4.493,-1.626,-2.102,22081.0,204.0,204.0,204.0,0.0
0.031,1.918,-0.403,5.302,5.35,-4.587,-1.66,-2.077,-4.628,-1.675,-2.096,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.395,5.403,5.377,-4.685,-1.712,-2.078,-4.662,-1.704,-2.068,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.388,5.506,5.569,-4.788,-1.75,-2.082,-4.843,-1.77,-2.106,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.38,5.633,5.609,-4.915,-1.796,-2.087,-4.893,-1.788,-2.078,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.37,5.802,5.981,-5.081,-1.857,-2.098,-5.238,-1.914,-2.163,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.434,4.9,4.862,-4.175,-1.526,-2.063,-4.142,-1.514,-2.047,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.423,5.025,5.093,-4.303,-1.572,-2.065,-4.361,-1.594,-2.093,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.361,5.999,5.973,-5.272,-1.927,-2.117,-5.249,-1.918,-2.108,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.414,5.134,5.142,-4.414,-1.613,-2.067,-4.421,-1.615,-2.07,22081.0,204.0,204.0,204.0,0.0
0.031,1.921,-0.403,5.293,5.392,-4.574,-1.671,-2.074,-4.66,-1.703,-2.113,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.395,5.394,5.398,-4.671,-1.723,-2.074,-4.675,-1.724,-2.076,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.388,5.496,5.494,-4.774,-1.761,-2.078,-4.772,-1.76,-2.077,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.38,5.623,5.6,-4.9,-1.807,-2.083,-4.88,-1.8,-2.074,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.37,5.778,5.92,-5.054,-1.864,-2.089,-5.178,-1.91,-2.14,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.434,4.897,4.813,-4.168,-1.537,-2.061,-4.096,-1.511,-2.026,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.423,5.022,5.109,-4.296,-1.584,-2.064,-4.37,-1.612,-2.099,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.361,5.961,5.919,-5.233,-1.93,-2.104,-5.196,-1.916,-2.089,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.349,6.218,6.189,-5.481,-2.022,-2.128,-5.456,-2.013,-2.119,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.414,5.13,5.169,-4.405,-1.625,-2.066,-4.439,-1.637,-2.081,22081.0,204.0,204.0,204.0,0.0
0.031,1.924,-0.403,5.283,5.332,-4.561,-1.682,-2.07,-4.603,-1.698,-2.089,22081.0,204.0,204.0,204.0,0.0
0.031,1.927,-0.395,5.384,5.333,-4.658,-1.734,-2.071,-4.614,-1.718,-2.051,22081.0,204.0,204.0,204.0,0.0
0.031,1.927,-0.388,5.486,5.49,-4.76,-1.772,-2.074,-4.763,-1.773,-2.076,22081.0,204.0,204.0,204.0,0.0
0.031,1.927,-0.38,5.613,5.615,-4.886,-1.819,-2.079,-4.888,-1.82,-2.08,22081.0,204.0,204.0,204.0,0.0
0.031,1.927,-0.37,5.767,5.947,-5.039,-1.876,-2.085,-5.196,-1.934,-2.15,22081.0,204.0,204.0,204.0,0.0
0.031,1.927,-0.434,4.894,4.827,-4.16,-1.549,-2.06,-4.104,-1.528,-2.032,22081.0,204.0,204.0,204.0,0.0
