timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.082,5.151,-0.231,13.555,13.508,11.903,5.587,-3.091,22081.0,72.0,204.0,204.0,0.0,11.945,5.606,1.8980000000000001
0.082,5.151,-0.225,13.529,13.509,11.921,5.595,-3.015,22081.0,72.0,204.0,204.0,0.0,11.938,5.603,1.98
0.082,5.151,-0.164,13.364,13.243,11.828,5.551,-2.158,22081.0,204.0,204.0,204.0,0.0,11.936,5.602,2.822
0.082,5.151,-0.155,13.354,13.287,11.884,5.578,-2.053,22081.0,204.0,204.0,204.0,0.0,11.944,5.606,2.937
0.082,5.151,-0.216,13.496,13.488,11.927,5.598,-2.89,22081.0,72.0,204.0,204.0,0.0,11.933,5.601,2.108
0.082,5.151,-0.209,13.474,13.552,12.002,5.633,-2.811,22081.0,72.0,204.0,204.0,0.0,11.932,5.6,2.206
0.082,5.154,-0.124,13.327,13.36,11.984,5.669,-1.655,22081.0,204.0,204.0,204.0,0.0,11.955,5.655,3.349
0.082,5.154,-0.119,13.338,13.343,11.976,5.665,-1.586,22081.0,204.0,204.0,204.0,0.0,11.972,5.663,3.415
0.082,5.154,-0.113,13.36,13.282,11.93,5.643,-1.501,22081.0,204.0,204.0,204.0,0.0,12.0,5.676,3.49
0.082,5.154,-0.106,13.437,13.434,12.075,5.712,-1.427,22081.0,204.0,204.0,204.0,0.0,12.078,5.713,3.573
0.082,5.154,-0.149,13.327,13.318,11.906,5.632,-1.975,22081.0,204.0,204.0,204.0,0.0,11.914,5.636,3.024
0.082,5.154,-0.142,13.322,13.391,11.982,5.668,-1.901,22081.0,204.0,204.0,204.0,0.0,11.921,5.639,3.109
0.082,5.154,-0.102,14.257,14.306,12.865,6.085,-1.456,22081.0,204.0,204.0,204.0,0.0,12.821,6.065,3.549
0.082,5.154,-0.137,13.32,13.338,11.944,5.65,-1.822,22081.0,204.0,204.0,204.0,0.0,11.928,5.642,3.1799999999999997
0.082,5.154,-0.131,13.32,13.274,11.896,5.627,-1.739,22081.0,204.0,204.0,204.0,0.0,11.937,5.647,3.255
0.082,5.154,-0.198,13.433,13.316,11.802,5.583,-2.621,22081.0,204.0,204.0,204.0,0.0,11.905,5.631,2.356
0.082,5.154,-0.188,13.405,13.507,11.994,5.674,-2.525,22081.0,204.0,204.0,204.0,0.0,11.904,5.631,2.494
0.082,5.154,-0.28,13.866,13.77,11.965,5.66,-3.799,22081.0,204.0,204.0,204.0,0.0,12.048,5.699,1.1749999999999998
